State,year,adult_pop,ins_employer,ins_direct,ins_medicare,ins_medicaid,uninsured,expand_ever,expand_year,expand
Alabama,2012,2937335.0,1528419.0,180043.0,56890.0,190312.0,585091.0,,2014.0,False
Alaska,2012,460946.0,222769.0,15608.0,2027.0,28177.0,118818.0,True,2014.0,False
Arizona,2012,3866694.0,1867954.0,263076.0,41042.0,428972.0,905320.0,True,2014.0,False
Arkansas,2012,1761365.0,871970.0,106277.0,39157.0,114012.0,432449.0,True,2014.0,False
California,2012,23798381.0,12015639.0,1824564.0,180861.0,2275053.0,5901869.0,True,2014.0,False
Colorado,2012,3270163.0,1801613.0,303179.0,27254.0,213045.0,639004.0,True,2014.0,False
Connecticut,2012,2233159.0,1404588.0,131145.0,23034.0,225991.0,287077.0,True,2014.0,False
Delaware,2012,561217.0,334373.0,27507.0,7529.0,66440.0,71580.0,True,2014.0,False
Florida,2012,11578613.0,5365172.0,860060.0,148499.0,839467.0,3332786.0,False,,False
Georgia,2012,6117277.0,3181157.0,345523.0,82211.0,332449.0,1561266.0,False,,False
Hawaii,2012,833610.0,483801.0,49354.0,7104.0,82387.0,79981.0,True,2014.0,False
Idaho,2012,944959.0,475318.0,89013.0,10683.0,45484.0,217945.0,True,2014.0,False
Illinois,2012,8006505.0,4693893.0,501504.0,82175.0,654528.0,1501494.0,True,2014.0,False
Indiana,2012,3998258.0,2368915.0,220088.0,53570.0,251445.0,782017.0,True,2014.0,False
Iowa,2012,1862753.0,1159454.0,158084.0,10666.0,125492.0,224733.0,True,2014.0,False
Kansas,2012,1729836.0,1045580.0,125214.0,16433.0,66156.0,305904.0,False,,False
Kentucky,2012,2685735.0,1441107.0,149681.0,58744.0,207183.0,537832.0,True,2014.0,False
Louisiana,2012,2804831.0,1354367.0,186611.0,38032.0,227637.0,696596.0,True,2014.0,False
Maine,2012,830767.0,446284.0,45093.0,8663.0,109680.0,122103.0,True,2014.0,False
Maryland,2012,3708246.0,2283628.0,222499.0,29476.0,272874.0,537043.0,True,2014.0,False
Massachusetts,2012,4246935.0,2723588.0,276915.0,26325.0,615070.0,230866.0,True,2014.0,False
Michigan,2012,6104749.0,3528832.0,355427.0,66664.0,583823.0,1019623.0,True,2014.0,False
Minnesota,2012,3344084.0,2153822.0,256118.0,27843.0,293371.0,353988.0,True,2014.0,False
Mississippi,2012,1783844.0,831858.0,94753.0,34521.0,160105.0,441612.0,False,,False
Missouri,2012,3661457.0,2076235.0,241232.0,52583.0,225577.0,699830.0,True,2014.0,False
Montana,2012,616796.0,299333.0,59972.0,7055.0,30233.0,153310.0,True,2014.0,False
Nebraska,2012,1121006.0,672323.0,105641.0,8312.0,48310.0,176726.0,True,2014.0,False
Nevada,2012,1705729.0,868805.0,95780.0,16610.0,72865.0,486535.0,True,2014.0,False
New Hampshire,2012,844577.0,562833.0,45402.0,10951.0,31545.0,126941.0,True,2014.0,False
New Jersey,2012,5520629.0,3454934.0,289050.0,49886.0,363332.0,990888.0,True,2014.0,False
New Mexico,2012,1246884.0,556849.0,74898.0,17972.0,130230.0,332057.0,True,2014.0,False
New York,2012,12402577.0,7021295.0,619212.0,119085.0,1725758.0,1909529.0,True,2014.0,False
North Carolina,2012,5966410.0,2998318.0,427027.0,91540.0,399356.0,1401334.0,True,2014.0,False
North Dakota,2012,436041.0,272153.0,42822.0,3171.0,14573.0,57666.0,True,2014.0,False
Ohio,2012,7076483.0,4238915.0,365162.0,102656.0,627015.0,1156364.0,True,2014.0,False
Oklahoma,2012,2281244.0,1145883.0,136313.0,41015.0,132905.0,587283.0,True,2014.0,False
Oregon,2012,2428162.0,1292943.0,189714.0,24036.0,188149.0,518552.0,True,2014.0,False
Pennsylvania,2012,7867912.0,4904564.0,520644.0,83878.0,647660.0,1075431.0,True,2014.0,False
Rhode Island,2012,666700.0,399495.0,39155.0,6486.0,57177.0,103742.0,True,2014.0,False
South Carolina,2012,2868533.0,1447858.0,155081.0,48126.0,199523.0,683224.0,False,,False
South Dakota,2012,499064.0,276142.0,50939.0,3718.0,23803.0,81811.0,True,2014.0,False
Tennessee,2012,3971009.0,2102314.0,253999.0,69763.0,344501.0,793616.0,False,,False
Texas,2012,15858474.0,7810080.0,824393.0,164969.0,878510.0,4843493.0,False,,False
Utah,2012,1677068.0,1038516.0,112496.0,9717.0,72020.0,317679.0,True,2014.0,False
Vermont,2012,401075.0,240483.0,26871.0,3539.0,56941.0,36397.0,True,2014.0,False
Virginia,2012,5085461.0,2952411.0,330933.0,63242.0,194892.0,885395.0,True,2014.0,False
Washington,2012,4321655.0,2427627.0,311228.0,38348.0,253994.0,845791.0,True,2014.0,False
West Virginia,2012,1140973.0,605852.0,34073.0,25998.0,94747.0,247735.0,True,2014.0,False
Wisconsin,2012,3542388.0,2236891.0,224137.0,28887.0,319213.0,441709.0,False,,False
Wyoming,2012,358028.0,199960.0,28610.0,3116.0,17027.0,73831.0,False,,False
Alabama,2013,2945466.0,1538946.0,206022.0,63700.0,194642.0,593425.0,,2014.0,False
Alaska,2013,459776.0,240647.0,15534.0,2409.0,29233.0,109445.0,True,2014.0,False
Arizona,2013,3900900.0,1927982.0,271609.0,45650.0,406884.0,917421.0,True,2014.0,False
Arkansas,2013,1759900.0,861423.0,113111.0,44719.0,116578.0,424024.0,True,2014.0,False
California,2013,23976518.0,12219933.0,1870418.0,204669.0,2401040.0,5743547.0,True,2014.0,False
Colorado,2013,3304940.0,1821354.0,316251.0,27470.0,214139.0,622927.0,True,2014.0,False
Connecticut,2013,2235695.0,1390606.0,150628.0,23431.0,229069.0,294202.0,True,2014.0,False
Delaware,2013,565138.0,337546.0,24387.0,8676.0,67060.0,72726.0,True,2014.0,False
Florida,2013,11646895.0,5388322.0,896595.0,165986.0,856740.0,3348787.0,False,,False
Georgia,2013,6151890.0,3170278.0,377556.0,78527.0,346333.0,1592629.0,False,,False
Hawaii,2013,822542.0,495825.0,49455.0,7205.0,74453.0,79261.0,True,2014.0,False
Idaho,2013,946943.0,488391.0,92552.0,9766.0,45797.0,217465.0,True,2014.0,False
Illinois,2013,8010771.0,4718571.0,521476.0,83637.0,695321.0,1470890.0,True,2014.0,False
Indiana,2013,4008950.0,2361439.0,235721.0,55306.0,270904.0,768940.0,True,2014.0,False
Iowa,2013,1868852.0,1181905.0,164530.0,13802.0,133310.0,216471.0,True,2014.0,False
Kansas,2013,1730369.0,1026731.0,143589.0,17160.0,70386.0,302572.0,False,,False
Kentucky,2013,2687179.0,1453331.0,145310.0,62002.0,199040.0,554504.0,True,2014.0,False
Louisiana,2013,2825101.0,1411019.0,182468.0,44087.0,235413.0,682349.0,True,2014.0,False
Maine,2013,825507.0,442336.0,44933.0,9126.0,102896.0,131236.0,True,2014.0,False
Maryland,2013,3722201.0,2302902.0,228221.0,34108.0,278620.0,523097.0,True,2014.0,False
Massachusetts,2013,4272843.0,2758710.0,293494.0,25169.0,623726.0,222069.0,True,2014.0,False
Michigan,2013,6096761.0,3531044.0,387339.0,67029.0,606633.0,974008.0,True,2014.0,False
Minnesota,2013,3357171.0,2160999.0,274990.0,24005.0,296194.0,364258.0,True,2014.0,False
Mississippi,2013,1790746.0,849311.0,94017.0,34196.0,157828.0,442781.0,False,,False
Missouri,2013,3666019.0,2114296.0,253805.0,57152.0,217192.0,670830.0,True,2014.0,False
Montana,2013,616125.0,314173.0,59070.0,6477.0,31442.0,141402.0,True,2014.0,False
Nebraska,2013,1125425.0,672291.0,108102.0,9363.0,44594.0,181380.0,True,2014.0,False
Nevada,2013,1719885.0,921305.0,84137.0,19731.0,77036.0,463537.0,True,2014.0,False
New Hampshire,2013,842880.0,553820.0,52249.0,10704.0,34816.0,129771.0,True,2014.0,False
New Jersey,2013,5528837.0,3479409.0,290070.0,57211.0,354682.0,1028693.0,True,2014.0,False
New Mexico,2013,1243353.0,540348.0,75190.0,20607.0,138699.0,334560.0,True,2014.0,False
New York,2013,12439975.0,7094936.0,670615.0,125180.0,1760963.0,1871476.0,True,2014.0,False
North Carolina,2013,6000202.0,3054558.0,473581.0,88262.0,403299.0,1356819.0,True,2014.0,False
North Dakota,2013,451304.0,277360.0,47518.0,2894.0,15588.0,60388.0,True,2014.0,False
Ohio,2013,7072114.0,4281117.0,387982.0,103438.0,661943.0,1107664.0,True,2014.0,False
Oklahoma,2013,2295734.0,1167076.0,141263.0,42576.0,141968.0,567024.0,True,2014.0,False
Oregon,2013,2440752.0,1312008.0,189870.0,26577.0,189285.0,518195.0,True,2014.0,False
Pennsylvania,2013,7849516.0,4905243.0,537180.0,85479.0,623726.0,1063229.0,True,2014.0,False
Rhode Island,2013,668448.0,394825.0,45398.0,7453.0,55848.0,108369.0,True,2014.0,False
South Carolina,2013,2893842.0,1488260.0,157885.0,48012.0,212888.0,662340.0,False,,False
South Dakota,2013,501769.0,275845.0,57161.0,4815.0,24721.0,79632.0,True,2014.0,False
Tennessee,2013,3983560.0,2103337.0,266827.0,69522.0,341915.0,796666.0,False,,False
Texas,2013,16065579.0,8048342.0,889396.0,170215.0,860253.0,4801933.0,False,,False
Utah,2013,1701705.0,1043587.0,131363.0,12515.0,74943.0,315132.0,True,2014.0,False
Vermont,2013,397726.0,229664.0,25511.0,4265.0,60081.0,40764.0,True,2014.0,False
Virginia,2013,5112923.0,2942796.0,351277.0,71883.0,210217.0,877595.0,True,2014.0,False
Washington,2013,4339199.0,2438505.0,319981.0,39784.0,260263.0,857900.0,True,2014.0,False
West Virginia,2013,1132703.0,604382.0,40015.0,26462.0,106437.0,234112.0,True,2014.0,False
Wisconsin,2013,3544103.0,2216422.0,233075.0,29142.0,319957.0,453981.0,False,,False
Wyoming,2013,358526.0,216771.0,24884.0,2482.0,9975.0,68855.0,False,,False
Alabama,2014,2935367.0,1566977.0,230176.0,60790.0,200928.0,532900.0,,2014.0,True
Alaska,2014,456278.0,226871.0,24808.0,1820.0,30596.0,99446.0,True,2014.0,True
Arizona,2014,3944492.0,1975003.0,325299.0,51043.0,526114.0,728386.0,True,2014.0,True
Arkansas,2014,1762235.0,890527.0,141773.0,40291.0,192970.0,307576.0,True,2014.0,True
California,2014,24264509.0,12644131.0,2255073.0,216164.0,3348279.0,4193432.0,True,2014.0,True
Colorado,2014,3356310.0,1892675.0,343154.0,28268.0,325825.0,465925.0,True,2014.0,True
Connecticut,2014,2233736.0,1388088.0,184757.0,22101.0,288079.0,212229.0,True,2014.0,True
Delaware,2014,567790.0,345996.0,31277.0,9495.0,68261.0,59478.0,True,2014.0,True
Florida,2014,11813708.0,5575541.0,1288386.0,170323.0,948322.0,2812892.0,False,,False
Georgia,2014,6200645.0,3316647.0,462743.0,92962.0,369755.0,1368178.0,False,,False
Hawaii,2014,836069.0,510226.0,47483.0,7194.0,90383.0,60085.0,True,2014.0,True
Idaho,2014,950894.0,497632.0,117140.0,9836.0,46537.0,183445.0,True,2014.0,True
Illinois,2014,7998369.0,4776186.0,641071.0,89174.0,868857.0,1119046.0,True,2014.0,True
Indiana,2014,4012497.0,2428693.0,278435.0,57033.0,282413.0,658877.0,True,2014.0,True
Iowa,2014,1872141.0,1197738.0,186426.0,12290.0,156251.0,164460.0,True,2014.0,True
Kansas,2014,1725164.0,1052497.0,157381.0,18808.0,73743.0,249966.0,False,,False
Kentucky,2014,2684670.0,1458478.0,180855.0,65683.0,374167.0,320812.0,True,2014.0,True
Louisiana,2014,2824652.0,1440203.0,223786.0,49059.0,238369.0,609860.0,True,2014.0,True
Maine,2014,822829.0,453008.0,61837.0,9029.0,91100.0,116691.0,True,2014.0,True
Maryland,2014,3737434.0,2286846.0,262859.0,36447.0,365252.0,410935.0,True,2014.0,True
Massachusetts,2014,4303921.0,2737763.0,283650.0,26609.0,705242.0,193217.0,True,2014.0,True
Michigan,2014,6087266.0,3571034.0,476417.0,72719.0,676834.0,748333.0,True,2014.0,True
Minnesota,2014,3370012.0,2162501.0,305409.0,25622.0,365537.0,265377.0,True,2014.0,True
Mississippi,2014,1782144.0,868327.0,134831.0,36577.0,161386.0,383375.0,False,,False
Missouri,2014,3669439.0,2123815.0,325561.0,71616.0,214241.0,590745.0,True,2014.0,True
Montana,2014,618551.0,314792.0,80853.0,8119.0,30352.0,124168.0,True,2014.0,True
Nebraska,2014,1127803.0,680916.0,125476.0,8617.0,47047.0,153881.0,True,2014.0,True
Nevada,2014,1747883.0,954835.0,115649.0,21582.0,142375.0,355882.0,True,2014.0,True
New Hampshire,2014,843544.0,563374.0,64177.0,10107.0,37893.0,107927.0,True,2014.0,True
New Jersey,2014,5551498.0,3535547.0,347898.0,57089.0,454391.0,856903.0,True,2014.0,True
New Mexico,2014,1238526.0,555135.0,85440.0,18672.0,191473.0,255917.0,True,2014.0,True
New York,2014,12485670.0,7111983.0,786434.0,126754.0,2005122.0,1531914.0,True,2014.0,True
North Carolina,2014,6045208.0,3165904.0,595684.0,91005.0,412895.0,1148157.0,True,2014.0,True
North Dakota,2014,458368.0,289353.0,52932.0,3302.0,24482.0,45025.0,True,2014.0,True
Ohio,2014,7061137.0,4333942.0,426595.0,119830.0,830427.0,819273.0,True,2014.0,True
Oklahoma,2014,2305044.0,1207547.0,187084.0,41868.0,142923.0,498386.0,True,2014.0,True
Oregon,2014,2449627.0,1293542.0,209879.0,27845.0,358710.0,340874.0,True,2014.0,True
Pennsylvania,2014,7833859.0,4895033.0,669064.0,92300.0,638651.0,915861.0,True,2014.0,True
Rhode Island,2014,667555.0,388161.0,55475.0,8458.0,87852.0,69115.0,True,2014.0,True
South Carolina,2014,2908636.0,1510273.0,210143.0,54019.0,224859.0,578165.0,False,,False
South Dakota,2014,503162.0,289238.0,62881.0,4724.0,23633.0,69426.0,True,2014.0,True
Tennessee,2014,4001037.0,2112695.0,334075.0,76973.0,378023.0,694875.0,False,,False
Texas,2014,16366994.0,8536212.0,1218066.0,186073.0,911596.0,4204601.0,False,,False
Utah,2014,1722815.0,1081490.0,160536.0,12503.0,68914.0,278747.0,True,2014.0,True
Vermont,2014,395850.0,228104.0,31170.0,4459.0,66980.0,27943.0,True,2014.0,True
Virginia,2014,5129648.0,3015141.0,424749.0,69180.0,214657.0,764219.0,True,2014.0,True
Washington,2014,4382463.0,2512470.0,368067.0,46196.0,447605.0,560535.0,True,2014.0,True
West Virginia,2014,1118678.0,596709.0,45112.0,26854.0,182005.0,144429.0,True,2014.0,True
Wisconsin,2014,3540472.0,2258898.0,279276.0,33656.0,326060.0,357262.0,False,,False
Wyoming,2014,359462.0,215860.0,32452.0,2399.0,14199.0,59981.0,False,,False
Alabama,2015,2931080.0,1588401.0,251217.0,68427.0,221829.0,448318.0,,2014.0,True
Alaska,2015,457079.0,230786.0,29699.0,1532.0,36934.0,85567.0,True,2014.0,True
Arizona,2015,3992074.0,2023961.0,360611.0,52446.0,602255.0,581692.0,True,2014.0,True
Arkansas,2015,1759383.0,885346.0,166277.0,43004.0,218125.0,239884.0,True,2014.0,True
California,2015,24451851.0,12778221.0,2427618.0,227484.0,4334047.0,2952902.0,True,2014.0,True
Colorado,2015,3416438.0,1933299.0,369598.0,29775.0,401818.0,375168.0,True,2014.0,True
Connecticut,2015,2232650.0,1392377.0,196090.0,19773.0,300233.0,181812.0,True,2014.0,True
Delaware,2015,570682.0,346769.0,41570.0,8550.0,76185.0,46357.0,True,2014.0,True
Florida,2015,11988187.0,5732967.0,1657227.0,175258.0,1008569.0,2325241.0,False,,False
Georgia,2015,6254418.0,3385116.0,583232.0,86993.0,382658.0,1210998.0,False,,False
Hawaii,2015,831201.0,518317.0,51938.0,6261.0,91561.0,48071.0,True,2014.0,True
Idaho,2015,961905.0,509559.0,135762.0,8621.0,56152.0,155134.0,True,2014.0,True
Illinois,2015,7958577.0,4832760.0,711522.0,86531.0,1006754.0,810187.0,True,2014.0,True
Indiana,2015,4015170.0,2467898.0,313840.0,62255.0,333518.0,517333.0,True,2014.0,True
Iowa,2015,1876389.0,1195987.0,185019.0,14367.0,182110.0,128392.0,True,2014.0,True
Kansas,2015,1724059.0,1054202.0,181785.0,18447.0,74104.0,222500.0,False,,False
Kentucky,2015,2682955.0,1447315.0,179169.0,68442.0,475049.0,216282.0,True,2014.0,True
Louisiana,2015,2820771.0,1478473.0,255088.0,51218.0,256405.0,503139.0,True,2014.0,True
Maine,2015,816194.0,457758.0,80659.0,10989.0,80892.0,95706.0,True,2014.0,True
Maryland,2015,3738785.0,2323287.0,298944.0,38874.0,397583.0,327978.0,True,2014.0,True
Massachusetts,2015,4328437.0,2713315.0,313363.0,31787.0,733387.0,169825.0,True,2014.0,True
Michigan,2015,6073123.0,3578699.0,481650.0,73789.0,859533.0,523682.0,True,2014.0,True
Minnesota,2015,3376832.0,2159915.0,323327.0,28234.0,412439.0,203390.0,True,2014.0,True
